house_id,num_rooms,location,size_sqft,age,num_bathrooms,parking,garden,floor,price
140,5,Industrial Area,6801,69,1,1,1,2,1360787
141,1,Countryside,2961,54,4,2,1,9,587407
142,3,Suburb,6465,75,3,3,0,7,1265543
143,8,Downtown,8510,30,2,2,1,6,1771635
144,6,Industrial Area,3658,75,2,3,0,4,737354
145,8,Suburb,575,73,4,0,0,4,132666
146,9,Suburb,4378,39,4,3,1,7,954745
147,4,Countryside,5054,26,3,1,0,8,1038620
148,1,Downtown,4998,51,3,2,1,4,976858
149,1,Uptown,664,6,3,1,0,7,155120
150,4,Suburb,1094,45,3,3,0,3,239957
151,7,Industrial Area,7095,99,2,3,1,9,1409533
152,2,Countryside,6170,32,4,0,0,3,1245146
153,3,Countryside,889,90,1,3,1,3,135302
154,1,Suburb,4594,7,4,3,1,2,961206
155,5,Suburb,4613,4,4,1,0,3,997246
156,1,Suburb,9232,60,3,3,0,8,1816089
157,8,Uptown,5045,71,3,3,0,2,1041373
158,1,Suburb,7677,59,2,2,0,1,1511066
159,1,Downtown,9161,84,3,2,0,5,1771074
160,2,Industrial Area,1737,23,2,0,0,8,345356
161,2,Suburb,9347,6,4,0,0,6,1898931
162,6,Uptown,4333,60,4,1,0,2,895772
163,7,Industrial Area,2193,82,4,1,0,9,444089
164,5,Countryside,7819,94,2,2,0,4,1527857
165,1,Suburb,9678,35,2,2,0,3,1932470
166,1,Industrial Area,2142,26,2,2,1,4,444161
167,3,Countryside,6544,28,3,0,0,3,1327923
168,2,Uptown,626,86,1,0,0,8,65731
169,5,Downtown,2700,19,3,3,0,1,601913
170,6,Suburb,8406,69,1,0,1,1,1689459
171,7,Downtown,4578,75,3,3,0,9,944546
172,4,Uptown,4850,75,4,1,1,7,965982
173,7,Industrial Area,7800,2,2,0,1,9,1651647
174,8,Industrial Area,4315,38,3,1,0,3,913477
175,1,Uptown,5752,98,2,3,0,3,1079947
176,6,Uptown,4606,82,3,1,0,2,918722
177,8,Suburb,8542,44,4,1,1,2,1768572
178,5,Countryside,9960,67,2,0,1,9,1995141
179,4,Downtown,8126,30,4,3,1,2,1679527
180,2,Downtown,9501,37,1,3,0,4,1905644
181,6,Industrial Area,7083,96,2,2,0,4,1404698
182,6,Industrial Area,3857,5,3,0,1,9,852539
183,1,Suburb,9566,7,2,0,1,3,1932060
184,9,Uptown,453,27,1,3,1,2,184583
185,6,Downtown,9073,14,1,0,1,3,1882110
186,3,Suburb,1087,94,3,1,0,9,168901
187,4,Industrial Area,5186,7,4,2,0,5,1100723
188,4,Industrial Area,3681,53,2,3,1,5,743976
189,3,Downtown,7866,5,4,0,0,7,1609943
190,3,Industrial Area,6577,28,4,0,1,1,1339932
191,3,Industrial Area,2567,33,3,1,1,5,537321
192,4,Countryside,4558,6,2,0,0,9,962263
193,7,Uptown,1270,39,1,0,0,6,293072
194,4,Industrial Area,9139,73,3,1,0,8,1822214
195,9,Countryside,1245,12,4,0,1,8,356404
196,1,Suburb,5918,61,1,2,1,1,1158380
197,8,Industrial Area,8491,85,4,1,0,8,1717773
198,7,Suburb,1795,84,2,3,0,6,366458
199,2,Industrial Area,2347,64,4,2,0,4,444173
200,8,Downtown,9664,40,1,0,1,3,1977570
201,1,Countryside,3186,41,2,1,1,5,619934
202,9,Countryside,5488,65,3,1,0,5,1141079
203,9,Downtown,4458,92,4,0,0,7,911496
204,2,Uptown,9224,10,2,3,1,9,1886886
205,7,Countryside,3761,49,2,2,0,1,796391
206,3,Suburb,7033,70,3,0,1,9,1396784
207,7,Countryside,1957,34,3,3,0,3,450767
208,9,Uptown,5343,93,1,1,1,6,1086803
209,4,Suburb,6660,79,2,1,1,6,1311267
210,1,Suburb,778,78,2,1,0,4,107719
211,2,Downtown,9629,19,1,0,0,2,1924489
212,1,Industrial Area,4253,27,4,3,1,5,870677
213,5,Downtown,9468,36,2,0,0,3,1909907
214,5,Industrial Area,8728,2,2,0,0,4,1808652
215,7,Downtown,4343,92,4,2,0,6,880133
216,9,Industrial Area,897,58,3,2,1,7,246331
217,9,Countryside,8656,72,3,2,1,2,1779016
218,3,Suburb,2624,26,3,3,1,3,563766
219,3,Industrial Area,7599,31,1,1,0,7,1520617
220,3,Countryside,869,47,4,2,1,5,196597
221,4,Uptown,3628,45,3,1,0,4,732411
222,8,Downtown,440,94,1,3,0,4,78702
223,6,Uptown,9177,46,4,2,1,9,1881363
224,8,Countryside,9178,89,3,2,1,9,1862509
225,1,Uptown,3580,39,2,1,1,7,716808
226,8,Uptown,3063,2,2,0,0,1,704393
227,4,Countryside,3890,74,3,3,0,1,777008
228,1,Suburb,2338,28,3,3,1,3,472162
229,8,Industrial Area,1374,90,1,2,0,3,285187
230,4,Downtown,5922,57,2,3,1,7,1194594
231,6,Industrial Area,2525,49,4,1,1,2,539307
232,8,Downtown,7823,9,3,0,1,8,1655974
233,4,Industrial Area,9833,60,4,0,0,1,1973377
234,3,Uptown,663,98,3,3,1,8,100925
235,9,Suburb,9559,60,2,0,1,9,1951724
236,3,Uptown,2330,22,3,1,1,5,507152
237,9,Suburb,6985,5,4,2,1,4,1509281
238,2,Countryside,6765,74,2,2,0,6,1313280
239,2,Downtown,7091,59,3,3,0,6,1409669
240,2,Downtown,6457,26,2,3,0,8,1298087
241,6,Countryside,917,54,1,3,0,8,209381
242,3,Industrial Area,5737,30,4,2,0,1,1163519
243,9,Countryside,2282,29,3,3,0,9,539679
244,4,Countryside,6010,66,3,0,0,1,1190370
245,1,Suburb,493,12,3,2,1,3,131895
246,4,Countryside,8464,58,4,1,1,7,1698165
247,1,Downtown,4758,53,1,3,0,5,925248
248,5,Uptown,1419,20,4,2,1,6,344916
249,4,Suburb,7211,42,3,3,0,8,1473166
250,8,Suburb,6840,10,4,2,0,4,1458791
251,8,Industrial Area,826,66,3,2,1,4,215326
252,7,Uptown,7454,37,4,2,1,8,1547534
253,3,Suburb,5179,94,2,1,1,3,993151
254,1,Countryside,6145,23,4,2,1,6,1239052
255,1,Suburb,8271,50,3,0,0,4,1637321
256,3,Suburb,2973,75,3,3,1,6,584618
257,6,Suburb,8060,60,4,3,0,4,1634996
258,7,Industrial Area,7497,45,4,3,0,2,1561748
259,6,Suburb,5401,42,2,2,1,3,1116168
260,6,Suburb,3826,26,1,3,1,8,821261
261,6,Industrial Area,4149,84,1,0,1,1,821355
262,3,Uptown,1934,88,2,0,0,6,333533
263,6,Downtown,393,29,1,0,0,9,113504
264,8,Industrial Area,3666,93,1,1,1,1,737539
265,2,Industrial Area,8016,62,3,0,1,4,1579327
266,5,Suburb,3246,9,3,0,0,7,707889
267,1,Suburb,388,2,3,3,1,6,112442
268,1,Downtown,2850,76,4,2,1,6,534280
269,5,Suburb,6437,59,4,3,1,9,1318958
270,3,Countryside,6657,26,1,1,1,8,1350609
271,4,Suburb,1745,81,4,1,1,5,334328
272,3,Suburb,4921,44,3,1,1,2,989691
273,1,Countryside,6635,61,4,0,1,3,1303552
274,1,Downtown,2130,23,1,0,0,3,425605
275,5,Countryside,7085,45,3,0,1,4,1442100
276,6,Industrial Area,7691,77,1,2,1,2,1544630
277,3,Countryside,854,43,4,3,0,8,181605
278,9,Uptown,2734,62,2,0,0,8,593796
279,5,Industrial Area,9172,3,2,1,1,8,1901148
280,8,Suburb,7219,15,3,2,0,5,1532951
281,1,Industrial Area,5893,50,1,2,1,6,1150401
282,5,Downtown,502,73,2,1,0,6,86926
283,3,Downtown,7453,90,2,0,0,7,1448214
284,1,Countryside,4842,47,3,2,0,1,960669
285,4,Industrial Area,8310,64,3,1,1,3,1656503
286,5,Suburb,1128,68,1,0,0,3,210272
287,7,Downtown,7470,76,2,2,1,7,1506559
288,1,Suburb,2322,44,1,2,1,6,440879
289,3,Uptown,8594,2,1,3,0,9,1756587
290,2,Downtown,4511,16,3,3,0,9,931229
291,9,Countryside,5254,82,1,2,1,9,1077030
292,6,Uptown,4387,36,4,2,1,4,940214
293,3,Industrial Area,8595,4,1,2,1,3,1762963
294,8,Suburb,7085,46,2,3,0,4,1474458
295,8,Downtown,9298,43,1,0,1,3,1899300
296,2,Uptown,7466,87,4,3,0,7,1452191
297,6,Uptown,4955,32,4,1,1,3,1050555
298,7,Downtown,2374,20,2,2,0,1,539953
299,2,Industrial Area,9018,66,2,1,1,8,1785962
300,2,Industrial Area,7218,67,1,1,1,6,1415579
301,1,Countryside,3736,31,4,1,0,5,743404
302,8,Industrial Area,5348,23,4,3,0,8,1147496
303,1,Countryside,8789,34,1,3,0,8,1748879
304,9,Uptown,5172,17,2,0,0,3,1108549
305,6,Downtown,660,66,4,1,0,3,142828
306,7,Industrial Area,4899,53,1,1,1,7,1008270
307,7,Countryside,7031,25,2,3,0,3,1466991
308,3,Uptown,2377,59,1,1,0,9,447747
309,2,Industrial Area,2473,87,2,3,0,8,448949
310,9,Suburb,4991,64,2,2,0,8,1033346
311,8,Uptown,1689,50,4,2,0,9,395689
312,7,Industrial Area,8262,97,3,1,1,8,1646681
313,9,Uptown,6271,59,4,0,0,4,1300487
314,4,Downtown,3814,58,1,3,1,7,762459
315,4,Downtown,8754,75,2,2,0,6,1724048
316,1,Downtown,3219,16,4,2,0,1,655949
317,8,Suburb,301,84,2,1,1,5,85640
318,3,Downtown,2233,20,4,3,0,2,489954
319,7,Suburb,693,66,1,1,0,9,154333
320,2,Downtown,8797,27,1,3,1,3,1779118
321,2,Uptown,829,88,1,0,1,7,110680
322,7,Industrial Area,4923,43,4,3,0,2,1043768
323,6,Industrial Area,9456,69,3,2,1,7,1902396
324,3,Downtown,9162,61,1,1,0,4,1811054
325,9,Industrial Area,4368,41,4,3,0,6,958733
326,6,Downtown,7807,93,3,2,0,9,1540446
327,6,Downtown,6795,95,4,1,1,8,1345979
328,1,Countryside,7253,21,4,1,1,9,1470821
329,4,Countryside,5353,37,1,0,0,5,1072201
330,6,Countryside,2972,13,3,2,0,5,662692
331,6,Suburb,2013,97,4,3,1,4,404290
332,5,Countryside,4344,25,4,2,0,9,914599
333,1,Downtown,935,39,4,1,1,8,195432
334,8,Uptown,5434,53,4,0,1,6,1147945
335,5,Countryside,6919,12,1,3,1,6,1435535
336,5,Countryside,9609,93,4,0,1,6,1897201
337,7,Uptown,7745,18,3,0,1,6,1620379
338,4,Downtown,6902,41,2,2,0,7,1400611
339,6,Suburb,337,40,3,1,1,6,110192
340,4,Countryside,4075,49,4,1,1,8,836388
341,3,Uptown,4385,2,4,3,1,7,944114
342,7,Downtown,9010,30,3,0,0,2,1862735
343,8,Industrial Area,5420,75,2,0,1,4,1099148
344,4,Suburb,7044,14,1,0,1,7,1441421
345,2,Uptown,1341,53,2,2,1,2,251206
346,3,Uptown,5015,52,2,1,0,4,992757
347,1,Uptown,1694,44,2,0,0,2,306588
348,8,Countryside,3169,37,3,0,0,2,691991
349,3,Industrial Area,3976,77,2,1,1,7,765028
350,7,Suburb,4021,98,1,3,1,2,788145
351,5,Downtown,5990,79,4,2,0,4,1203426
352,5,Downtown,6118,49,3,2,0,7,1243448
353,7,Industrial Area,534,23,3,2,1,6,180499
354,9,Uptown,3440,16,2,1,0,4,780102
355,5,Uptown,8938,17,4,2,0,9,1841348
356,1,Uptown,8499,41,4,0,0,5,1690037
357,1,Uptown,1299,16,4,2,1,2,282045
358,2,Uptown,1634,15,3,1,0,7,345682
359,6,Industrial Area,8625,84,1,2,0,2,1711720
360,9,Countryside,8547,87,4,3,0,8,1736009
361,8,Suburb,5388,97,3,3,1,7,1082633
362,5,Uptown,5779,51,2,1,1,9,1169366
363,1,Countryside,6390,35,4,1,0,6,1273541
364,7,Downtown,1411,90,2,3,0,7,282237
365,5,Industrial Area,8635,38,4,2,0,9,1763927
366,6,Countryside,3216,80,2,0,0,7,630432
367,7,Uptown,7099,24,3,1,0,9,1475956
368,3,Uptown,2403,41,2,3,1,8,498953
369,3,Uptown,9111,20,3,2,0,5,1849966
370,5,Countryside,5425,67,2,1,0,7,1075123
371,6,Uptown,6890,88,2,2,1,7,1365610
372,9,Countryside,9900,58,2,0,1,1,2031500
373,5,Uptown,3221,29,4,1,0,4,681908
374,1,Downtown,5034,56,1,0,1,5,975241
375,4,Downtown,3673,32,1,0,1,6,763903
376,5,Suburb,7054,89,4,0,0,7,1381957
377,5,Uptown,1136,88,2,3,0,5,213455
378,7,Uptown,9328,52,2,0,1,2,1901133
379,4,Countryside,7007,15,4,0,0,5,1439837
380,1,Countryside,5612,48,3,2,0,5,1106423
381,5,Uptown,9889,87,3,3,1,7,1972273
382,7,Suburb,4122,4,4,3,0,3,919816
383,6,Uptown,6453,76,1,3,1,1,1286238
384,5,Countryside,1104,93,3,3,1,6,217823
385,4,Uptown,1375,59,4,0,1,7,273051
386,2,Countryside,9905,70,3,2,1,8,1966855
387,4,Uptown,4752,80,4,0,1,7,935383
388,3,Industrial Area,1963,54,3,0,0,7,373929
389,1,Countryside,7728,90,3,3,1,7,1498457
390,8,Suburb,2353,34,4,3,0,1,544576
391,5,Industrial Area,2720,68,1,1,0,9,539912
392,4,Uptown,2828,41,1,2,1,9,587757
393,8,Countryside,4617,68,3,3,0,7,966129
394,7,Industrial Area,8277,23,3,3,1,9,1725601
395,2,Suburb,9006,70,1,0,1,4,1760513
396,1,Countryside,7527,70,4,0,0,7,1473289
397,4,Industrial Area,8712,54,2,0,1,2,1739274
398,8,Industrial Area,527,13,3,3,0,6,206231
399,2,Industrial Area,2637,54,2,2,0,2,509586
400,3,Downtown,1255,14,3,3,0,3,284956
401,1,Uptown,1797,4,1,3,1,1,384621
402,1,Countryside,9772,3,4,2,0,7,1984041
403,3,Countryside,2278,29,3,3,1,2,496525
404,5,Countryside,1829,83,2,3,0,3,352603
405,3,Industrial Area,2962,52,1,2,0,1,582859
406,1,Uptown,6733,89,3,3,1,3,1295483
407,1,Suburb,7745,72,4,1,0,4,1519593
408,8,Countryside,4584,29,3,1,0,7,992877
409,2,Uptown,9409,85,4,0,0,6,1837034
410,3,Uptown,1501,93,4,3,1,1,264703
411,2,Downtown,7431,83,1,2,1,4,1431377
412,3,Countryside,1059,91,3,2,0,9,176547
413,7,Industrial Area,5873,60,4,1,0,3,1213508
414,1,Uptown,5461,70,1,0,1,6,1044136
415,8,Uptown,4589,67,3,3,1,2,969177
416,2,Suburb,5746,91,4,2,1,5,1106098
417,3,Downtown,9980,54,1,2,0,9,1992430
418,9,Uptown,4558,98,3,3,0,2,922945
419,7,Uptown,4671,96,4,0,1,3,938519
420,4,Industrial Area,1965,70,1,1,1,2,374050
421,5,Industrial Area,7218,72,1,3,0,2,1433788
422,2,Suburb,6923,97,3,3,0,6,1341013
423,8,Suburb,8951,41,1,3,1,6,1840934
424,4,Suburb,7732,97,3,1,1,5,1509868
425,9,Industrial Area,6982,76,3,2,0,2,1428842
426,5,Industrial Area,6528,28,4,3,1,1,1370933
427,9,Downtown,6127,34,3,3,0,3,1309524
428,4,Countryside,5735,44,1,3,0,3,1155739
429,5,Countryside,7936,73,3,3,0,9,1594248
430,9,Downtown,1665,93,4,0,1,4,363059
431,8,Countryside,7644,89,1,0,0,9,1515111
432,3,Industrial Area,3501,98,4,0,1,1,658360
433,1,Countryside,5052,91,2,2,1,3,944674
434,3,Industrial Area,9875,28,4,3,0,1,2013466
435,4,Downtown,6391,69,2,3,1,6,1276208
436,2,Suburb,6914,2,2,3,0,1,1415016
437,1,Downtown,1821,92,3,3,1,2,303920
438,7,Countryside,7821,56,1,1,0,9,1584212
439,8,Industrial Area,6859,65,3,1,0,1,1413492
440,7,Countryside,1923,21,1,1,0,4,449410
441,5,Countryside,9173,26,4,3,0,6,1888920
442,1,Suburb,3434,21,2,1,0,2,690745
443,7,Countryside,6120,73,2,1,1,1,1247456
444,7,Suburb,5294,48,2,2,1,4,1109549
445,9,Industrial Area,4996,82,4,2,0,3,1038388
446,3,Industrial Area,2167,23,4,1,1,7,471208
447,9,Suburb,9691,26,3,1,1,7,2021398
448,1,Downtown,3123,35,3,2,0,7,619927
449,1,Industrial Area,6406,16,1,1,0,9,1290402
450,4,Downtown,468,55,1,3,0,9,96684
451,9,Industrial Area,8087,9,2,1,0,4,1718701
452,6,Industrial Area,8930,53,4,3,0,9,1829914
453,3,Uptown,5209,80,4,1,1,7,1018775
454,1,Countryside,8327,73,3,0,1,6,1631833
455,4,Countryside,4981,73,3,1,1,9,991324
456,9,Downtown,9355,37,1,0,0,4,1919927
457,3,Countryside,5437,80,1,1,1,1,1054184
458,9,Downtown,8631,89,3,1,0,6,1737045
459,7,Industrial Area,5534,89,3,3,0,1,1117379
460,4,Uptown,524,97,4,2,0,9,76794
461,3,Uptown,9049,3,1,2,0,5,1851281
462,5,Industrial Area,6882,49,3,3,1,2,1406556
463,5,Suburb,1873,90,3,2,0,8,363911
464,3,Suburb,8877,60,2,0,1,6,1769469
465,9,Countryside,9012,20,3,0,0,3,1884123
466,4,Downtown,7063,35,3,1,1,2,1432738
467,5,Uptown,5517,45,4,0,1,4,1130738
468,4,Countryside,3442,94,3,2,0,1,661162
469,5,Industrial Area,3801,70,1,0,1,1,750889
470,7,Uptown,1799,43,2,1,1,5,397848
471,9,Downtown,9969,63,4,0,0,9,2039397
472,7,Downtown,9395,97,1,2,1,5,1865371
473,5,Suburb,6987,17,2,3,1,6,1464534
474,7,Countryside,5545,87,2,1,1,9,1112685
475,5,Industrial Area,9662,12,3,3,0,3,1991449
476,3,Uptown,2044,12,2,0,0,4,444800
477,7,Downtown,2339,24,2,1,1,2,533092
478,2,Uptown,8611,4,3,1,1,4,1770063
479,9,Industrial Area,4157,38,4,0,1,8,902109
480,1,Uptown,9812,28,3,1,1,2,1964662
481,6,Countryside,5250,56,4,0,0,4,1078978
482,7,Suburb,9507,45,2,3,1,8,1947856
483,8,Uptown,7387,32,1,3,1,7,1553236
484,9,Suburb,6331,87,4,2,1,9,1307823
485,2,Industrial Area,2043,9,4,2,0,2,436969
486,2,Suburb,3841,57,4,0,1,4,758825
487,5,Uptown,9938,24,4,0,1,9,2036908
488,5,Uptown,3916,73,2,3,0,6,776763
489,6,Downtown,4194,38,1,1,1,9,866330
490,3,Uptown,2024,15,4,0,1,9,443738
491,8,Suburb,6527,59,1,1,1,7,1342089
492,1,Downtown,4362,27,2,2,0,7,862951
493,6,Uptown,8147,75,4,3,0,8,1640057
494,4,Uptown,4581,43,1,0,1,2,931988
495,1,Industrial Area,8563,57,4,2,1,7,1689217
496,7,Downtown,2500,31,4,0,0,6,567448
497,9,Industrial Area,2443,62,2,2,0,7,535091
498,4,Industrial Area,3481,92,4,3,1,6,685566
499,4,Industrial Area,9973,44,1,0,1,3,2002528
500,6,Countryside,3175,52,1,0,1,5,654225
501,3,Industrial Area,6820,60,2,1,0,3,1338792
502,6,Suburb,1396,49,3,1,0,6,300436
503,7,Uptown,9215,26,3,0,0,3,1899599
504,3,Countryside,7218,25,2,3,0,2,1468125
505,7,Industrial Area,8448,2,2,1,0,4,1778724
506,3,Uptown,3514,89,3,0,1,9,656494
507,2,Downtown,8049,38,3,0,1,1,1619682
508,4,Downtown,5864,64,1,2,1,8,1159728
509,8,Uptown,3171,34,1,3,0,5,694875
510,9,Suburb,4789,52,1,1,1,2,1005886
511,7,Uptown,4907,90,3,1,0,9,983202
512,1,Uptown,7064,45,2,2,0,2,1392322
513,3,Countryside,6134,67,4,0,1,3,1207855
514,9,Downtown,3699,82,1,1,1,1,772209
515,1,Downtown,5678,21,4,0,1,1,1150907
516,9,Industrial Area,2157,59,2,1,1,2,476684
517,8,Uptown,7904,5,3,1,1,2,1675997
518,1,Uptown,8031,51,1,0,0,6,1566783
519,6,Suburb,2696,72,3,0,0,8,532317
520,5,Downtown,2561,74,2,1,0,4,505559
521,6,Suburb,1612,85,1,2,1,3,313107
522,5,Countryside,2605,72,2,2,1,2,525066
523,6,Industrial Area,5807,28,2,2,1,1,1220466
524,5,Suburb,3041,42,1,2,1,8,635427
525,5,Downtown,3636,73,4,2,0,7,734237
526,4,Countryside,7780,33,1,0,1,2,1579032
527,3,Uptown,5459,30,3,1,1,7,1114600
528,3,Countryside,1297,85,4,2,1,6,235803
529,4,Suburb,6653,45,1,3,1,8,1338200
530,9,Downtown,2619,3,1,1,1,6,629539
531,2,Suburb,3507,1,1,3,0,4,732623
532,9,Uptown,9090,4,1,0,1,8,1919593
533,1,Uptown,9575,45,1,1,1,1,1890949
534,1,Downtown,3881,78,3,0,1,1,724916
535,5,Industrial Area,3386,18,2,3,0,4,733735
536,6,Countryside,7466,37,3,1,1,1,1532101
537,6,Countryside,1021,58,2,1,0,5,215205
